time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
11140;-9616;740;12928;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;370;244;426;1425
11141;-9660;1144;13112;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;853;583;671;2372
11142;-9680;1072;13176;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;6477;1685;1002;3455
11143;-9632;1068;13144;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;6595;1712;1017;3429
11144;-9664;1096;13152;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;6816;1760;1082;2615
11145;-9632;1100;13180;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;6816;1767;1099;1765
11146;-9664;1096;13168;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;6815;1766;1098;1121
11147;-9668;1080;13164;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;6812;1753;1078;720
11148;-9676;916;13176;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;6449;1525;676;517
11149;-9700;748;13124;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;5986;1216;483;420
11150;-9624;1100;12932;10;0;10;0;0;0;0;0;16;0;0;0;0;0;1;95;142;371;129;169;360
11151;-9712;896;13140;10;0;10;0;0;0;0;0;16;0;8;0;0;0;1;95;142;284;126;172;295
11152;-9660;1084;13156;10;0;10;0;0;0;0;0;16;0;0;0;0;0;0;95;142;72;82;110;222
11153;-9680;1116;13152;10;0;10;0;0;0;0;0;16;0;0;0;0;0;4;95;142;72;75;93;159
11154;-9656;1112;13156;10;0;10;0;0;0;0;0;16;0;0;0;0;0;13;95;142;72;75;93;109
11155;-9672;1108;13152;10;0;10;0;0;0;0;0;16;0;0;0;0;0;19;95;142;72;75;93;75
11156;-9672;1104;13148;10;0;10;0;0;0;0;0;20;0;8;0;0;0;32;95;142;72;75;93;53
11157;-9664;1112;13160;10;0;10;0;0;0;0;0;16;0;0;0;0;0;65;95;142;52;45;41;40
