feature,importance,category
env_high_threshold_ratio,0.5306035299990297,Audio (env)
accel_y_mean_activity,0.1927245357308489,Accelerometer
env_regularity,0.06287182599240479,Audio (env)
b1000_regularity,0.04078799057451075,Audio (b1000)
env_relative_std,0.0347080681279529,Audio (env)
accel_x_mean_activity,0.033919540414083175,Accelerometer
b400_b1000_ratio,0.028106486939055424,Audio (b400)
accel_x_max_activity,0.02396059336906485,Accelerometer
b100_regularity,0.021549910512384873,Audio (b100)
accel_z_max_activity,0.01604308819760139,Accelerometer
accel_y_max_activity,0.009278900332157149,Accelerometer
b400_b100_ratio,0.0043482004983663265,Audio (b400)
env_std,0.0006707285049499341,Audio (env)
b100_mean,0.0004266008075897642,Audio (b100)
b1000_mean,0.0,Audio (b1000)
b400_std,0.0,Audio (b400)
b100_std,0.0,Audio (b100)
accel_z_movement_ratio,0.0,Accelerometer
b100_relative_std,0.0,Audio (b100)
accel_z_mean_activity,0.0,Accelerometer
accel_y_movement_ratio,0.0,Accelerometer
b100_high_threshold_ratio,0.0,Audio (b100)
b100_trend,0.0,Audio (b100)
accel_x_movement_ratio,0.0,Accelerometer
b400_mean,0.0,Audio (b400)
b400_max,0.0,Audio (b400)
env_trend,0.0,Audio (env)
b1000_max,0.0,Audio (b1000)
b400_relative_std,0.0,Audio (b400)
b400_high_threshold_ratio,0.0,Audio (b400)
b400_trend,0.0,Audio (b400)
env_max,0.0,Audio (env)
env_mean,0.0,Audio (env)
b400_regularity,0.0,Audio (b400)
b100_max,0.0,Audio (b100)
b1000_high_threshold_ratio,0.0,Audio (b1000)
b1000_relative_std,0.0,Audio (b1000)
b1000_std,0.0,Audio (b1000)
b1000_trend,0.0,Audio (b1000)
