Feature,Importance
b100_mean,0.0
b1000_regularity,0.0
env_mean,0.0
env_max,0.0
env_std,0.0
env_relative_std,0.0
env_high_threshold_ratio,0.0
b400_b100_ratio,0.0
env_trend,0.0
accel_x_mean_activity,0.0
accel_x_movement_ratio,0.0
accel_y_mean_activity,0.0
accel_y_movement_ratio,0.0
accel_z_mean_activity,0.0
accel_z_movement_ratio,0.0
env_regularity,0.0
b1000_high_threshold_ratio,0.0
b400_b1000_ratio,0.0
b1000_std,0.0
b100_max,0.0
b100_std,0.0
b100_relative_std,0.0
b100_high_threshold_ratio,0.0
b100_trend,0.0
b1000_relative_std,0.0
b400_mean,0.0
b100_regularity,0.0
b400_std,0.0
b400_relative_std,0.0
b400_high_threshold_ratio,0.0
b400_trend,0.0
b400_regularity,0.0
b1000_mean,0.0
b1000_max,0.0
b400_max,0.0
b1000_trend,1.2896435256601761e-14
accel_x_max_activity,0.018762126090014184
accel_z_max_activity,0.09553634472145174
accel_y_max_activity,0.8857015291885213
