time;x;y;z;bpm;bpm_by_nn;bpm_by_acf;mf;af;arf;sf;r_th;status_1;status_2;status_3;ml;breath_nn;snore_nn;signal_nn;splash_nn;eog;b100;b400;b1000;env
10542;-5724;9308;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;17
10543;-5748;9312;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;2;4;18
10544;-5520;9284;11692;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;5;2;4;17
10545;-5672;9308;11700;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;17
10546;-5748;9292;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;17
10547;-5704;9300;11700;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;18
10548;-5700;9296;11704;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;31
10549;-5708;9300;11708;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;3;4;33
10550;-5712;9296;11700;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;3;4;31
10551;-5712;9292;11704;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;4;4;27
10552;-5688;9260;11716;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;4;23
10553;-5732;9300;11704;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;4;19
10554;-5664;9312;11704;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;9;4;4;18
10555;-5736;9272;11700;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;4;4;17
10556;-5716;9296;11704;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;10;4;4;15
10557;-5704;9296;11708;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;15
10558;-5708;9296;11700;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;13
10559;-5720;9312;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;12
10560;-5692;9312;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;8;2;4;11
10561;-5744;9264;11708;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;1;4;11
10562;-5708;9340;11688;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;1;4;11
10563;-5700;9296;11704;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;1;3;10
10564;-5712;9292;11704;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;10
10565;-5724;9308;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;4;11
10566;-5712;9300;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;1;4;12
10567;-5716;9296;11700;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;15
10568;-5748;9304;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;17
10569;-5656;9276;11708;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;18
10570;-5520;9276;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;17
10571;-5692;9316;11696;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;4;18
10572;-5720;9296;11688;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;7;2;3;19
10573;-5724;9272;11708;21;0;21;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;7;2;3;18
10574;-5732;9292;11692;21;0;21;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;7;2;3;16
10575;-5724;9296;11704;21;0;21;0;0;0;0;0;2064;0;0;0;1;0;0;95;142;7;2;3;15
10576;-5744;9288;11704;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;14
10577;-5720;9312;11692;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;13
10578;-5712;9248;11720;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;13
10579;-5516;9292;11692;21;0;21;0;0;0;0;0;2064;0;0;0;0;0;0;95;142;6;2;3;14
